created_at_wib,symbol,rows_total,label_rows,wins,losses,target_counts,state
2026-06-25 00:54:57 WIB,ADAUSDT,47,0,0,0,{},ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,AVAXUSDT,53,3,1,2,"{""SL"": 2, ""TP1"": 1}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,BCHUSDT,55,7,5,2,"{""SL"": 2, ""TP3"": 5}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,BTCUSDT,56,2,2,0,"{""TP1"": 1, ""TP3"": 1}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,ETHUSDT,53,4,3,1,"{""SL"": 1, ""TP1"": 3}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,HYPEUSDT,63,6,5,1,"{""SL"": 1, ""TP1"": 2, ""TP3"": 3}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,LINKUSDT,49,4,3,1,"{""SL"": 1, ""TP1"": 1, ""TP3"": 2}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,LTCUSDT,51,5,5,0,"{""TP1"": 4, ""TP3"": 1}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,PAXGUSDT,54,5,3,2,"{""SL"": 2, ""TP1"": 1, ""TP3"": 2}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,SOLUSDT,54,3,0,3,"{""SL"": 3}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,SUIUSDT,47,3,2,1,"{""SL"": 1, ""TP3"": 2}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,UNIUSDT,55,10,3,7,"{""SL"": 7, ""TP3"": 3}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,XRPUSDT,61,4,3,1,"{""SL"": 1, ""TP1"": 3}",ML_LABEL_NOT_READY_ACCUMULATE
2026-06-25 00:54:57 WIB,ZECUSDT,66,3,2,1,"{""SL"": 1, ""TP1"": 1, ""TP3"": 1}",ML_LABEL_NOT_READY_ACCUMULATE
